05/21/19 19:09:10:060 | [DEBUG] |  |  |  | AdobeGCCodeSignWrapper |  |  | 168852 | Completed VerifyCodeSign. 
05/21/19 19:09:10:061 | [INFO] |  |  |  | AdobeGCVersionWrapper |  |  | 168852 | Getting version of package at /Library/Application Support/Adobe/AdobeGCClient/AdobeGCClient.app
05/21/19 19:09:10:062 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 168852 | Client sanitization ended
05/21/19 19:09:10:062 | [INFO] |  |  |  | AdobeGCClientHealthUtil |  |  | 168852 | Checking CEF dependencies
05/21/19 19:09:10:062 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 168852 | Threaded CFU Ended
05/21/19 19:09:10:062 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 168852 | Semaphore signalled
05/21/19 19:09:10:355 | [ERROR] |  |  |  | AdobeGCInvokerUtilityHelper |  |  | 168678 | AdobeGCInvokerUtility :  AdobeGC_CFUCallbackFn is invoked
05/21/19 19:09:10:355 | [ERROR] |  |  |  | AdobeGCInvokerUtilityHelper |  |  | 168678 | AdobeGCInvokerUtility : inside invokeGCApplication.
05/21/19 19:09:10:356 | [INFO] |  |  |  | AdobeGCUpdater |  |  | 168678 | ***********AdobeGC Updater library invoked = 6.3.0.73 ************
05/21/19 19:09:10:356 | [DEBUG] |  |  |  | AdobeGCUpdaterIC |  |  | 168678 | Trying to acquire the semaphore
05/21/19 19:09:10:356 | [DEBUG] |  |  |  | AdobeGCUpdaterIC |  |  | 168678 | Semaphore acquired
05/21/19 19:09:10:356 | [INFO] |  |  |  | AdobeGCUpdaterIC |  |  | 168678 | Perform WF started
05/21/19 19:09:10:461 | [ERROR] |  |  |  | AdobeGCUpdaterIC |  |  | 168678 | Time flag read
05/21/19 19:09:10:461 | [INFO] |  |  |  | AdobeGCUpdaterIC |  |  | 168678 | GCInvokerNextClientLaunchTimestamp from cache 1558437995
05/21/19 19:09:10:461 | [INFO] |  |  |  | AdobeGCUpdaterIC |  |  | 168678 | GCInvokerNextClientLaunchTimestamp cached 1558437995 , curr 1558458550 res = 1
05/21/19 19:09:10:461 | [INFO] |  |  |  | AdobeGCUpdaterXMLWrapper |  |  | 168678 | Get XML path Started
05/21/19 19:09:10:461 | [INFO] |  |  |  | AdobeGCUpdaterXMLWrapper |  |  | 168678 | Create XML Started
05/21/19 19:09:10:461 | [INFO] |  |  |  | AdobeGCUpdaterXMLWrapper |  |  | 168678 | Adding generic details Started
05/21/19 19:09:10:461 | [INFO] |  |  |  | AdobeGCUpdaterXMLWrapper |  |  | 168678 | Adding generic details Ended
05/21/19 19:09:10:462 | [INFO] |  |  |  | AdobeGCUpdaterXMLWrapper |  |  | 168678 | Create XML Ended
05/21/19 19:09:10:462 | [INFO] |  |  |  | AdobeGCUpdaterXMLWrapper |  |  | 168678 | Storing XML Started
05/21/19 19:09:10:462 | [INFO] |  |  |  | AdobeGCUpdaterXMLWrapper |  |  | 168678 | Storing XML Ended
05/21/19 19:09:10:462 | [INFO] |  |  |  | AdobeGCUpdaterXMLWrapper |  |  | 168678 | Get XML path Ended
05/21/19 19:09:10:462 | [INFO] |  |  |  | AdobeGCUpdaterIC |  |  | 168678 | Invoking GC client started
05/21/19 19:09:10:462 | [INFO] |  |  |  | AdobeGCUpdaterIC |  |  | 168678 | override path for acrobat is 0
05/21/19 19:09:10:462 | [INFO] |  |  |  | AdobeGCUpdater |  |  | 168678 | Get client install path Started
05/21/19 19:09:10:462 | [INFO] |  |  |  | AdobeGCUpdater |  |  | 168678 | Get client install path Ended
05/21/19 19:09:10:462 | [INFO] |  |  |  | AdobeGCUpdaterIC |  |  | 168678 | path found is  /Library/Application Support/Adobe/AdobeGCClient/AdobeGCClient.app
05/21/19 19:09:10:462 | [INFO] |  |  |  | AdobeGCUpdaterIC |  |  | 168678 | Invoking GC Client for caller id 11
05/21/19 19:09:10:462 | [INFO] |  |  |  | AdobeGCUpdaterIC |  |  | 168678 | GC Client path = /Library/Application Support/Adobe/AdobeGCClient/AdobeGCClient.app/Contents/MacOS/AdobeGCClient
05/21/19 19:09:10:462 | [INFO] |  |  |  | AdobeGCUpdaterIC |  |  | 168678 | Argument 1 is  = --xmlFilePath=/tmp/adobegc_QMhsNt
05/21/19 19:09:10:462 | [INFO] |  |  |  | AdobeGCUpdaterIC |  |  | 168678 | Argument 2 is = --workflowInitiator=GCInvokerUtility
05/21/19 19:09:10:475 | [INFO] |  |  |  | AdobeGCUpdaterIC |  |  | 168678 | Invoking GC client completed
05/21/19 19:09:10:475 | [INFO] |  |  |  | AdobeGCUpdaterIC |  |  | 168678 | SaveGCInvokerNextLaunchTimestamp 
05/21/19 19:09:10:475 | [INFO] |  |  |  | AdobeGCUpdaterIC |  |  | 168678 | SaveGCInvokerNextLaunchTimestamp Wait Period 86400
05/21/19 19:09:10:476 | [INFO] |  |  |  | AdobeGCUpdaterIC |  |  | 168678 | SaveGCInvokerNextLaunchTimestamp Wait Period Xtnd 1558544950
05/21/19 19:09:10:476 | [INFO] |  |  |  | AdobeGCUpdaterIC |  |  | 168678 | Perform WF completed
05/21/19 19:09:10:476 | [INFO] |  |  |  | AdobeGCUpdaterIC |  |  | 168678 | Semaphore signalled
05/21/19 19:09:10:476 | [INFO] |  |  |  | AdobeGCUpdater |  |  | 168678 | ***********AdobeGC Updater library End*******************
05/21/19 19:09:10:476 | [ERROR] |  |  |  | AdobeGCInvokerUtilityHelper |  |  | 168678 | AdobeGCInvokerUtility : AdobeGC_ReleaseRef called.
05/21/19 19:09:12:544 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 169237 | *********** Adobe GCClient Launched = 6.3.0.73 ************
05/21/19 19:09:12:544 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 169237 | Initiating workflow
05/21/19 19:09:12:544 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 169237 | Client request processing started
05/21/19 19:09:12:545 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 169237 | Lock acquired, continue with the workflow
